Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,516.64,0.00,21500.00,4,0,0,0,0,0,8,0,2,0.46418002572938954,48
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,36962.75,4104.91,722500.00,267,0,2,0,52,0,275,0,19,0.9060559039694233,2988
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,33388.40,19159.66,1362500.00,405,0,3,0,9,0,464,0,10,0.969696540126562,5472
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,31442.60,31200.00,10942900.00,485,0,0,3,12,0,519,0,12,0.9772446941620977,6468
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,66995.73,53696.54,20736000.00,882,0,5,0,48,0,920,0,21,0.9797994092879087,11628
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,58533.88,43890.00,19229900.00,793,0,0,5,39,0,898,0,19,0.9728918831539277,10212
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,55565.28,35880.00,18432000.00,708,0,0,4,38,0,775,0,17,0.9788595671197055,9300
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,20152.60,10200.00,5659500.00,235,0,0,0,4,0,305,0,8,0.9692982456140351,2736
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,28423.56,15620.00,10443400.00,341,13,0,3,0,17,351,0,8,0.9879831330174814,4764
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,50367.70,0.00,0,214,0,3,0,3,0,266,6,0.9343317731442766,2760
